set	oracle_id	name	type_line	index	parent_index	depth	face	line	kind	role	source	rule	text	normalized	boundary	missed	kind_expected	kind_ok	role_ok	source_ok	context	cr_ref	structure_tags	norm_issue	disposition	annotator	note
arn	a2404d88-0621-49ae-9908-052c23a96ac6	Abu Ja'far	Creature — Human	0		0	0	1	triggered_ability	ability	printed		When this creature dies, destroy all creatures blocking or blocked by it. They can't be regenerated.	When ~ dies, destroy all creatures blocking or blocked by it. They can't be regenerated.	ok	0	triggered_ability	yes	yes	yes	none		dies_trigger;multi_sentence		accept	fable-pass1	
arn	9a410f83-ed92-4b55-834a-c7cec8f5d1e2	Aladdin	Creature — Human Rogue	0		0	0	1	activated_ability	ability	printed		{1}{R}{R}, {T}: Gain control of target artifact for as long as you control this creature.	{M}{M}{M}, {M}: Gain control of target artifact for as long as you control ~.	ok	0	activated_ability	yes	yes	yes	none		control_change;duration_conditional	collision:tap_as_mana	accept	fable-pass1	
arn	2aa2f96b-5784-4767-b9ea-b8d9222cb1de	Aladdin's Lamp	Artifact	0		0	0	1	activated_ability	ability	printed		{X}, {T}: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X can't be 0.	{M}, {M}: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X can't be N.	ok	0	activated_ability	yes	yes	yes	none	602.1b;614.1a	activation_instruction;instead_in_activated;multi_sentence	collision:tap_as_mana	accept	fable-pass1	'X can't be 0.' defines an aspect of the activation cost (602.1b).
arn	7810915f-df4d-445a-8ba8-fe6ed3abf1ae	Aladdin's Ring	Artifact	0		0	0	1	activated_ability	ability	printed		{8}, {T}: This artifact deals 4 damage to any target.	{M}, {M}: ~ deals N damage to any target.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	ef3fdfea-330d-4948-94ec-67e344b48086	Ali Baba	Creature — Human Rogue	0		0	0	1	activated_ability	ability	printed		{R}: Tap target Wall.	{M}: Tap target Wall.	ok	0	activated_ability	yes	yes	yes	none				accept	fable-pass1	
arn	6517edb3-30e2-40ba-b6e4-4554b4bbb342	Ali from Cairo	Creature — Human	0		0	0	1	replacement_effect	ability	printed		Damage that would reduce your life total to less than 1 reduces it to 1 instead.	Damage that would reduce your life total to less than N reduces it to N instead.	ok	0	replacement_effect	yes	yes	yes	none	614.1a			accept	fable-pass1	
arn	3483946d-8645-4c22-b0ba-a65a44456324	Army of Allah	Instant	0		0	0	1	spell_or_static_text	ability	printed		Attacking creatures get +2/+0 until end of turn.	Attacking creatures get +N/+N until end of turn.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1	
arn	54022a10-c9f0-458d-a0ed-228843cd9a40	Bazaar of Baghdad	Land	0		0	0	1	activated_ability	ability	printed		{T}: Draw two cards, then discard three cards.	{M}: Draw two cards, then discard three cards.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	bddd6b93-7c69-427a-97ee-0c1f9f950f09	Bird Maiden	Creature — Human Bird	0		0	0	1	keyword_ability	ability	printed		Flying	Flying	ok	0	keyword_ability	yes	yes	yes	cr	702.9	keyword		accept	fable-pass1	
arn	f32d19d6-8ac1-4744-b2c2-5c9d4cd0da70	Bottle of Suleiman	Artifact	0		0	0	1	activated_ability	ability	printed		{1}, Sacrifice this artifact: Flip a coin. If you win the flip, create a 5/5 colorless Djinn artifact creature token with flying. If you lose the flip, this artifact deals 5 damage to you.	{M}, Sacrifice ~: Flip a coin. If you win the flip, create a N/N colorless Djinn artifact creature token with flying. If you lose the flip, ~ deals N damage to you.	ok	0	activated_ability	yes	yes	yes	none	705.1	coin_flip;multi_sentence		accept	fable-pass1	Coin flip inside an activated ability (79 corpus hits for 'flip a coin').
arn	64f56228-7874-4465-ba58-1049083ea02f	Brass Man	Artifact Creature — Construct	0		0	0	1	spell_or_static_text	ability	printed		This creature doesn't untap during your untap step.	~ doesn't untap during your untap step.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1	
arn	64f56228-7874-4465-ba58-1049083ea02f	Brass Man	Artifact Creature — Construct	1		0	0	2	triggered_ability	ability	printed		At the beginning of your upkeep, you may pay {1}. If you do, untap this creature.	At the beginning of your upkeep, you may pay {M}. If you do, untap ~.	ok	0	triggered_ability	yes	yes	yes	none		multi_sentence;optional_payment		accept	fable-pass1	
arn	d33b3591-c01f-4ac4-8626-7cbfdabaf90d	Camel	Creature — Camel	0		0	0	1	keyword_ability	ability	printed		Banding	Banding	ok	0	keyword_ability	yes	yes	yes	cr	702.22	keyword		accept	fable-pass1	
arn	d33b3591-c01f-4ac4-8626-7cbfdabaf90d	Camel	Creature — Camel	1		0	0	2	spell_or_static_text	ability	printed		As long as this creature is attacking, prevent all damage Deserts would deal to this creature and to creatures banded with this creature.	As long as ~ is attacking, prevent all damage Deserts would deal to ~ and to creatures banded with ~.	ok	0	gap:prevention	no	yes	yes	cr	615.1a;604.1	conditional_static;prevention_static		unsupported	fable-pass1	Static prevention effect conditioned on attacking (F7 class).
arn	a83f25e3-4d84-4c9b-ab12-19b8d326e459	City in a Bottle	Artifact	0		0	0	1	triggered_ability	ability	printed		Whenever one or more other nontoken permanents with a name originally printed in the Arabian Nights expansion are on the battlefield, their controllers sacrifice them.	Whenever one or more other nontoken permanents with a name originally printed in the Arabian Nights expansion are on the battlefield, their controllers sacrifice them.	ok	0	triggered_ability	yes	yes	yes	none	603.8	one_off_candidate;set_reference;state_trigger		accept	fable-pass1	State trigger referencing the printing set of a name; 'one or more ... are on the battlefield' (ruling: checked whenever a player would receive priority).
arn	a83f25e3-4d84-4c9b-ab12-19b8d326e459	City in a Bottle	Artifact	1		0	0	2	spell_or_static_text	ability	printed		Players can't cast spells or play lands with a name originally printed in the Arabian Nights expansion.	Players can't cast spells or play lands with a name originally printed in the Arabian Nights expansion.	ok	0	spell_or_static_text	yes	yes	yes	none		play_restriction_others;set_reference		accept	fable-pass1	Restricts what other players may cast/play; not the card's own cast restriction, so residual static is correct.
arn	f25351e3-539b-4bbc-b92d-6480acf4d722	City of Brass	Land	0		0	0	1	triggered_ability	ability	printed		Whenever this land becomes tapped, it deals 1 damage to you.	Whenever ~ becomes tapped, it deals N damage to you.	ok	0	triggered_ability	yes	yes	yes	none				accept	fable-pass1	
arn	f25351e3-539b-4bbc-b92d-6480acf4d722	City of Brass	Land	1		0	0	2	activated_ability	ability	printed		{T}: Add one mana of any color.	{M}: Add one mana of any color.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1	
arn	638eeb16-9e0e-4cc6-b97e-8ff0df81ca58	Cuombajj Witches	Creature — Human Wizard	0		0	0	1	activated_ability	ability	printed		{T}: This creature deals 1 damage to any target and 1 damage to any target of an opponent's choice.	{M}: ~ deals N damage to any target and N damage to any target of an opponent's choice.	ok	0	activated_ability	yes	yes	yes	none		opponent_choice_target	collision:tap_as_mana	accept	fable-pass1	
arn	fc9e82b2-f148-431b-9312-97b7101cffe4	Cyclone	Enchantment	0		0	0	1	triggered_ability	ability	printed		At the beginning of your upkeep, put a wind counter on this enchantment, then sacrifice this enchantment unless you pay {G} for each wind counter on it. If you pay, this enchantment deals damage equal to the number of wind counters on it to each creature and each player.	At the beginning of your upkeep, put a wind counter on ~, then sacrifice ~ unless you pay {M} for each wind counter on it. If you pay, ~ deals damage equal to the number of wind counters on it to each creature and each player.	ok	0	triggered_ability	yes	yes	yes	none		counter_upkeep;multi_sentence;optional_payment		accept	fable-pass1	
arn	82b13601-d460-45c5-94a1-07e146d463a9	Dancing Scimitar	Artifact Creature — Spirit	0		0	0	1	keyword_ability	ability	printed		Flying	Flying	ok	0	keyword_ability	yes	yes	yes	cr	702.9	keyword		accept	fable-pass1	
arn	88929373-b2c8-4a81-a809-fed87fd5b0d7	Dandân	Creature — Fish	0		0	0	1	spell_or_static_text	ability	printed		This creature can't attack unless defending player controls an Island.	~ can't attack unless defending player controls an Island.	ok	0	spell_or_static_text	yes	yes	yes	none			fragmentation:land_type	accept	fable-pass1	
