set	oracle_id	name	type_line	index	parent_index	depth	face	line	kind	role	source	rule	prefix	text	normalized	boundary	missed	kind_expected	kind_ok	role_ok	source_ok	context	disposition	cr_ref	structure_tags	norm_issue	annotator	note
drk	8345187a-a210-49d7-bdce-10fb2909e050	Amnesia	Sorcery	0		0	0	1	spell_or_static_text	ability	printed			Target player reveals their hand and discards all nonland cards.	Target player reveals their hand and discards all nonland cards.	ok	0	spell_or_static_text	yes	yes	yes	none	accept	113.3a			claude-fable-5-pass1-2026-08-27	
drk	967c2c79-7e49-448d-8d30-b2eb08b21d0a	Angry Mob	Creature — Human	0		0	0	1	keyword_ability	ability	printed			Trample	Trample	ok	0	keyword_ability	yes	yes	yes	cr	accept	702.19a	keyword		claude-fable-5-pass1-2026-08-27	
drk	967c2c79-7e49-448d-8d30-b2eb08b21d0a	Angry Mob	Creature — Human	1		0	0	2	spell_or_static_text	ability	printed			During your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. During turns other than yours, Angry Mob's power and toughness are each 2.	During your turn, ~'s power and toughness are each equal to N plus the number of Swamps your opponents control. During turns other than yours, ~'s power and toughness are each N.	ok	0	unsure	unsure	yes	yes	type_line	ambiguous	604.3a;604.1	conditional_cda;multi_sentence;self_reference_name	fragmentation:land_type	claude-fable-5-pass1-2026-08-27	AMBIG: (a) a residual characteristic-setting static, not an established CDA because its power/toughness value is conditional on whose turn it is (604.3a(5)); (b) a characteristic-defining ability; CR/rulings do not decide; emitted spell_or_static_text
drk	d16d2451-1c21-4a6b-8a4a-40ac8cd9fe08	Apprentice Wizard	Creature — Human Wizard	0		0	0	1	activated_ability	ability	printed			{U}, {T}: Add {C}{C}{C}.	{M}, {M}: Add {M}{M}{M}.	ok	0	activated_ability	yes	yes	yes	none	accept	113.3b;605.1a	mana_ability	collision:tap_as_mana	claude-fable-5-pass1-2026-08-27	
drk	944a52d9-bb14-43c5-8d05-2afaf023dc9f	Ashes to Ashes	Sorcery	0		0	0	1	spell_or_static_text	ability	printed			Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.	Exile two target nonartifact creatures. ~ deals N damage to you.	ok	0	spell_or_static_text	yes	yes	yes	none	accept	113.3a	multi_sentence;self_reference_name		claude-fable-5-pass1-2026-08-27	
drk	7485cf25-eb41-4397-be13-7f0b8c10c70a	Ball Lightning	Creature — Elemental	0		0	0	1	keyword_ability	ability	printed			Trample	Trample	ok	0	keyword_ability	yes	yes	yes	cr	accept	702.19a	keyword		claude-fable-5-pass1-2026-08-27	
drk	7485cf25-eb41-4397-be13-7f0b8c10c70a	Ball Lightning	Creature — Elemental	1		0	0	2	keyword_ability	ability	printed			Haste	Haste	ok	0	keyword_ability	yes	yes	yes	cr	accept	702.10a	keyword		claude-fable-5-pass1-2026-08-27	
drk	7485cf25-eb41-4397-be13-7f0b8c10c70a	Ball Lightning	Creature — Elemental	2		0	0	3	triggered_ability	ability	printed			At the beginning of the end step, sacrifice this creature.	At the beginning of the end step, sacrifice ~.	ok	0	triggered_ability	yes	yes	yes	none	accept	113.3c			claude-fable-5-pass1-2026-08-27	
drk	438546b8-0b67-4bec-a43b-f2fc7449c90e	Banshee	Creature — Spirit	0		0	0	1	activated_ability	ability	printed			{X}, {T}: This creature deals half X damage, rounded down, to any target, and half X damage, rounded up, to you.	{M}, {M}: ~ deals half X damage, rounded down, to any target, and half X damage, rounded up, to you.	ok	0	activated_ability	yes	yes	yes	none	accept	113.3b		collision:tap_as_mana	claude-fable-5-pass1-2026-08-27	
drk	eb260cd3-9060-4a5e-bc60-a8ca13d542cc	Barl's Cage	Artifact	0		0	0	1	activated_ability	ability	printed			{3}: Target creature doesn't untap during its controller's next untap step.	{M}: Target creature doesn't untap during its controller's next untap step.	ok	0	activated_ability	yes	yes	yes	none	accept	113.3b			claude-fable-5-pass1-2026-08-27	
