set	oracle_id	name	type_line	index	parent_index	depth	face	line	kind	role	source	rule	prefix	text	normalized	boundary	missed	kind_expected	kind_ok	role_ok	source_ok	context	disposition	cr_ref	structure_tags	norm_issue	annotator	note
fem	0897adea-2759-40e8-a05a-c722473e1cf3	Aeolipile	Artifact	0		0	0	1	activated_ability	ability	printed			{1}, {T}, Sacrifice this artifact: It deals 2 damage to any target.	{M}, {M}, Sacrifice ~: It deals N damage to any target.	ok	0	activated_ability	yes	yes	yes	none	accept				human-fem-pass	
fem	35453c9e-e1ae-4fe9-926d-75724deb0555	Armor Thrull	Creature — Thrull	0		0	0	1	activated_ability	ability	printed			{T}, Sacrifice this creature: Put a +1/+2 counter on target creature.	{M}, Sacrifice ~: Put a +N/+N counter on target creature.	ok	0	activated_ability	yes	yes	yes	none	accept		H12-counter-vocabulary		human-fem-pass	
fem	45a40b4c-1d37-4d87-adf1-abf0ea4c86b4	Balm of Restoration	Artifact	0		0	0	1	activated_ability	ability	printed			{1}, {T}, Sacrifice this artifact: Choose one —	{M}, {M}, Sacrifice ~: Choose one —	ok	0	activated_ability	yes	yes	yes	none	accept				human-fem-pass	
fem	45a40b4c-1d37-4d87-adf1-abf0ea4c86b4	Balm of Restoration	Artifact	1	0	1	0	2	spell_or_static_text	mode	printed			You gain 2 life.	You gain N life.	ok	0	spell_or_static_text	yes	yes	yes	none	accept				human-fem-pass	
fem	45a40b4c-1d37-4d87-adf1-abf0ea4c86b4	Balm of Restoration	Artifact	2	0	1	0	3	prevention_effect	mode	printed			Prevent the next 2 damage that would be dealt to any target this turn.	Prevent the next N damage that would be dealt to any target this turn.	ok	0	prevention_effect	yes	yes	yes	none	accept				human-fem-pass	
fem	9da50130-3f83-4968-983c-7dcba257cf1b	Basal Thrull	Creature — Thrull	0		0	0	1	activated_ability	ability	printed			{T}, Sacrifice this creature: Add {B}{B}.	{M}, Sacrifice ~: Add {M}{M}.	ok	0	activated_ability	yes	yes	yes	none	accept				human-fem-pass	
fem	e43413e4-be17-49af-978a-26210d05f52a	Bottomless Vault	Land	0		0	0	1	replacement_effect	ability	printed			This land enters tapped.	~ enters tapped.	ok	0	replacement_effect	yes	yes	yes	none	accept				human-fem-pass	
fem	e43413e4-be17-49af-978a-26210d05f52a	Bottomless Vault	Land	1		0	0	2	spell_or_static_text	ability	printed			You may choose not to untap this land during your untap step.	You may choose not to untap ~ during your untap step.	ok	0	spell_or_static_text	yes	yes	yes	none	accept				human-fem-pass	
fem	e43413e4-be17-49af-978a-26210d05f52a	Bottomless Vault	Land	2		0	0	3	triggered_ability	ability	printed			At the beginning of your upkeep, if this land is tapped, put a storage counter on it.	At the beginning of your upkeep, if ~ is tapped, put a storage counter on it.	ok	0	triggered_ability	yes	yes	yes	none	accept		H12-counter-vocabulary		human-fem-pass	
fem	e43413e4-be17-49af-978a-26210d05f52a	Bottomless Vault	Land	3		0	0	4	activated_ability	ability	printed			{T}, Remove any number of storage counters from this land: Add {B} for each storage counter removed this way.	{M}, Remove any number of storage counters from ~: Add {M} for each storage counter removed this way.	ok	0	activated_ability	yes	yes	yes	none	accept		H12-counter-vocabulary		human-fem-pass	
fem	c8ce324f-aa58-48f9-9f56-435e49dfff0a	Brassclaw Orcs	Creature — Orc	0		0	0	1	spell_or_static_text	ability	printed			This creature can't block creatures with power 2 or greater.	~ can't block creatures with power N or greater.	ok	0	spell_or_static_text	yes	yes	yes	none	accept				human-fem-pass	
fem	ddc83b35-cf7c-495b-bd30-e409b622e299	Breeding Pit	Enchantment	0		0	0	1	triggered_ability	ability	printed			At the beginning of your upkeep, sacrifice this enchantment unless you pay {B}{B}.	At the beginning of your upkeep, sacrifice ~ unless you pay {M}{M}.	ok	0	triggered_ability	yes	yes	yes	none	accept				human-fem-pass	
fem	ddc83b35-cf7c-495b-bd30-e409b622e299	Breeding Pit	Enchantment	1		0	0	2	triggered_ability	ability	printed			At the beginning of your end step, create a 0/1 black Thrull creature token.	At the beginning of your end step, create a N/N black Thrull creature token.	ok	0	triggered_ability	yes	yes	yes	none	accept				human-fem-pass	
fem	541b7b2f-7bb0-4858-8dc5-6e50de443c33	Combat Medic	Creature — Human Cleric Soldier	0		0	0	1	activated_ability	ability	printed			{1}{W}: Prevent the next 1 damage that would be dealt to any target this turn.	{M}{M}: Prevent the next N damage that would be dealt to any target this turn.	ok	0	activated_ability	yes	yes	yes	none	accept				human-fem-pass	
fem	b019cc20-d32d-4cdf-80cc-eafb3f78db88	Conch Horn	Artifact	0		0	0	1	activated_ability	ability	printed			{1}, {T}, Sacrifice this artifact: Draw two cards, then put a card from your hand on top of your library.	{M}, {M}, Sacrifice ~: Draw two cards, then put a card from your hand on top of your library.	ok	0	activated_ability	yes	yes	yes	none	accept				human-fem-pass	
fem	d1aba343-d85a-4829-bdfe-db31fcb3c320	Deep Spawn	Creature — Homarid	0		0	0	1	keyword_ability	ability	printed			Trample	Trample	ok	0	keyword_ability	yes	yes	yes	none	accept				human-fem-pass	
fem	d1aba343-d85a-4829-bdfe-db31fcb3c320	Deep Spawn	Creature — Homarid	1		0	0	2	triggered_ability	ability	printed			At the beginning of your upkeep, sacrifice this creature unless you mill two cards.	At the beginning of your upkeep, sacrifice ~ unless you mill two cards.	ok	0	triggered_ability	yes	yes	yes	none	accept				human-fem-pass	
