set	oracle_id	name	type_line	index	parent_index	depth	face	line	kind	role	source	rule	text	normalized
lea	7744bae4-a8b7-44a5-9b4c-0048ad4cc448	Air Elemental	Creature — Elemental	0		0	0	1	keyword_ability	ability	printed		Flying	Flying
lea	550c74d4-1fcb-406a-b02a-639a760a4380	Ancestral Recall	Instant	0		0	0	1	spell_or_static_text	ability	printed		Target player draws three cards.	Target player draws three cards.
lea	2dd7a4dc-902a-4e85-8a3b-c96a898fba86	Animate Artifact	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed		Enchant artifact	Enchant artifact
lea	2dd7a4dc-902a-4e85-8a3b-c96a898fba86	Animate Artifact	Enchantment — Aura	1		0	0	2	spell_or_static_text	ability	printed		As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its mana value.	As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its mana value.
lea	c0d8fef4-65f4-4769-982d-b397d2b7e977	Animate Dead	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed		Enchant creature card in a graveyard	Enchant creature card in a graveyard
lea	c0d8fef4-65f4-4769-982d-b397d2b7e977	Animate Dead	Enchantment — Aura	1		0	0	2	triggered_ability	ability	printed		When this Aura enters, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with this Aura." Return enchanted creature card to the battlefield under your control and attach this Aura to it. When this Aura leaves the battlefield, that creature's controller sacrifices it.	When ~ enters, if it's on the battlefield, it loses "[ability]" and gains "[ability]" Return enchanted creature card to the battlefield under your control and attach ~ to it. When ~ leaves the battlefield, that creature's controller sacrifices it.
lea	c0d8fef4-65f4-4769-982d-b397d2b7e977	Animate Dead	Enchantment — Aura	2	1	1	0	2	keyword_ability	granted	printed		enchant creature card in a graveyard	enchant creature card in a graveyard
lea	c0d8fef4-65f4-4769-982d-b397d2b7e977	Animate Dead	Enchantment — Aura	3	1	1	0	2	spell_or_static_text	granted	printed		enchant creature put onto the battlefield with this Aura.	enchant creature put onto the battlefield with ~.
lea	c0d8fef4-65f4-4769-982d-b397d2b7e977	Animate Dead	Enchantment — Aura	4		0	0	3	spell_or_static_text	ability	printed		Enchanted creature gets -1/-0.	Enchanted creature gets -N/-N.
lea	c7a6a165-b709-46e0-ae42-6f69a17c0621	Animate Wall	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed		Enchant Wall	Enchant Wall
lea	c7a6a165-b709-46e0-ae42-6f69a17c0621	Animate Wall	Enchantment — Aura	1		0	0	2	spell_or_static_text	ability	printed		Enchanted Wall can attack as though it didn't have defender.	Enchanted Wall can attack as though it didn't have defender.
lea	63c1eda1-3e6f-4e9c-adf3-a43164df98bb	Ankh of Mishra	Artifact	0		0	0	1	triggered_ability	ability	printed		Whenever a land enters, this artifact deals 2 damage to that land's controller.	Whenever a land enters, ~ deals N damage to that land's controller.
lea	c9ed8b01-959a-47d6-891e-0abbdccf6e4f	Armageddon	Sorcery	0		0	0	1	spell_or_static_text	ability	printed		Destroy all lands.	Destroy all lands.
lea	77b7277d-90a1-4774-a998-8c35c3f94e4a	Aspect of Wolf	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed		Enchant creature	Enchant creature
lea	77b7277d-90a1-4774-a998-8c35c3f94e4a	Aspect of Wolf	Enchantment — Aura	1		0	0	2	spell_or_static_text	ability	printed		Enchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up.	Enchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up.
lea	fc5d3341-cbce-49e5-93cc-8add92479dca	Bad Moon	Enchantment	0		0	0	1	spell_or_static_text	ability	printed		Black creatures get +1/+1.	Black creatures get +N/+N.
lea	13ff3222-91cb-4796-a34e-899ed817694c	Badlands	Land — Swamp Mountain	0		0	0	1	activated_ability	ability	rules_supplied	305.6	({T}: Add {B} or {R}.)	{M}: Add {M} or {M}.
lea	17fa98cd-ed8f-483f-9525-7e989a82ebb2	Balance	Sorcery	0		0	0	1	spell_or_static_text	ability	printed		Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.	Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.
lea	6b8cf2a0-b045-4d91-9d91-c602d40c6237	Basalt Monolith	Artifact	0		0	0	1	spell_or_static_text	ability	printed		This artifact doesn't untap during your untap step.	~ doesn't untap during your untap step.
lea	6b8cf2a0-b045-4d91-9d91-c602d40c6237	Basalt Monolith	Artifact	1		0	0	2	activated_ability	ability	printed		{T}: Add {C}{C}{C}.	{M}: Add {M}{M}{M}.
lea	6b8cf2a0-b045-4d91-9d91-c602d40c6237	Basalt Monolith	Artifact	2		0	0	3	activated_ability	ability	printed		{3}: Untap this artifact.	{M}: Untap ~.
lea	b76d1ae6-ad1d-4bac-b4c3-2e03e0e84d9b	Bayou	Land — Swamp Forest	0		0	0	1	activated_ability	ability	rules_supplied	305.6	({T}: Add {B} or {G}.)	{M}: Add {M} or {M}.
lea	4c81cfb7-8765-4e28-ae33-4287fa9a86cc	Benalish Hero	Creature — Human Soldier	0		0	0	1	keyword_ability	ability	printed		Banding	Banding
lea	8b67d192-9a05-4a47-82ae-5fc4b7834d88	Berserk	Instant	0		0	0	1	cast_restriction	ability	printed		Cast this spell only before the combat damage step.	Cast ~ only before the combat damage step.
lea	8b67d192-9a05-4a47-82ae-5fc4b7834d88	Berserk	Instant	1		0	0	2	spell_or_static_text	ability	printed		Target creature gains trample and gets +X/+0 until end of turn, where X is its power.	Target creature gains trample and gets +X/+N until end of turn, where X is its power.
lea	8b67d192-9a05-4a47-82ae-5fc4b7834d88	Berserk	Instant	2	1	1	0	2	triggered_ability	delayed_trigger	printed		At the beginning of the next end step, destroy that creature if it attacked this turn.	At the beginning of the next end step, destroy that creature if it attacked this turn.
lea	d3a0b660-358c-41bd-9cd2-41fbf3491b1a	Birds of Paradise	Creature — Bird	0		0	0	1	keyword_ability	ability	printed		Flying	Flying
lea	d3a0b660-358c-41bd-9cd2-41fbf3491b1a	Birds of Paradise	Creature — Bird	1		0	0	2	activated_ability	ability	printed		{T}: Add one mana of any color.	{M}: Add one mana of any color.
lea	9456c5b6-946d-403a-8ed0-dff9f921d98c	Black Knight	Creature — Human Knight	0		0	0	1	keyword_ability	ability	printed		First strike	First strike
lea	9456c5b6-946d-403a-8ed0-dff9f921d98c	Black Knight	Creature — Human Knight	1		0	0	2	keyword_ability	ability	printed		Protection from white	Protection from white
lea	5089ec1a-f881-4d55-af14-5d996171203b	Black Lotus	Artifact	0		0	0	1	activated_ability	ability	printed		{T}, Sacrifice this artifact: Add three mana of any one color.	{M}, Sacrifice ~: Add three mana of any one color.
lea	de7839fb-7040-48ab-a6d4-d1952972943d	Black Vise	Artifact	0		0	0	1	replacement_effect	ability	printed		As this artifact enters, choose an opponent.	As ~ enters, choose an opponent.
lea	de7839fb-7040-48ab-a6d4-d1952972943d	Black Vise	Artifact	1		0	0	2	triggered_ability	ability	printed		At the beginning of the chosen player's upkeep, this artifact deals X damage to that player, where X is the number of cards in their hand minus 4.	At the beginning of the chosen player's upkeep, ~ deals X damage to that player, where X is the number of cards in their hand minus N.
lea	7861ac9b-3024-4935-804c-2ca4c5a46bf4	Black Ward	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed		Enchant creature	Enchant creature
lea	7861ac9b-3024-4935-804c-2ca4c5a46bf4	Black Ward	Enchantment — Aura	1		0	0	2	spell_or_static_text	ability	printed		Enchanted creature has protection from black. This effect doesn't remove this Aura.	Enchanted creature has protection from black. This effect doesn't remove ~.
lea	b330ac89-790e-4cc9-96a5-532c48252088	Blaze of Glory	Instant	0		0	0	1	cast_restriction	ability	printed		Cast this spell only during combat before blockers are declared.	Cast ~ only during combat before blockers are declared.
lea	b330ac89-790e-4cc9-96a5-532c48252088	Blaze of Glory	Instant	1		0	0	2	spell_or_static_text	ability	printed		Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.	Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.
lea	5c84d8da-2bfb-4618-89a0-7d9ed604e854	Blessing	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed		Enchant creature	Enchant creature
lea	5c84d8da-2bfb-4618-89a0-7d9ed604e854	Blessing	Enchantment — Aura	1		0	0	2	activated_ability	ability	printed		{W}: Enchanted creature gets +1/+1 until end of turn.	{M}: Enchanted creature gets +N/+N until end of turn.
