set	oracle_id	name	type_line	index	parent_index	depth	face	line	kind	role	source	rule	prefix	text	normalized	boundary	missed	kind_expected	kind_ok	role_ok	source_ok	context	disposition	cr_ref	structure_tags	norm_issue	annotator	note
leg	2c57c4e9-0a46-45d6-92db-9203fb722b60	Abomination	Creature — Horror	0		0	0	1	triggered_ability	ability	printed			Whenever this creature blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.	Whenever ~ blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.												claude-fable-5-pass1-2026-08-27	
leg	6ae3c3a2-bd17-4fea-ae27-9d2d1eaf8cc0	Acid Rain	Sorcery	0		0	0	1	spell_or_static_text	ability	printed			Destroy all Forests.	Destroy all Forests.												claude-fable-5-pass1-2026-08-27	
leg	205ffa76-ff8e-4405-b21a-42358a9883c2	Active Volcano	Instant	0		0	0	1	spell_or_static_text	ability	printed			Choose one —	Choose one —												claude-fable-5-pass1-2026-08-27	
leg	205ffa76-ff8e-4405-b21a-42358a9883c2	Active Volcano	Instant	1	0	1	0	2	spell_or_static_text	mode	printed			Destroy target blue permanent.	Destroy target blue permanent.												claude-fable-5-pass1-2026-08-27	
leg	205ffa76-ff8e-4405-b21a-42358a9883c2	Active Volcano	Instant	2	0	1	0	3	spell_or_static_text	mode	printed			Return target Island to its owner's hand.	Return target Island to its owner's hand.												claude-fable-5-pass1-2026-08-27	
leg	aefd49a4-ecec-42cb-b882-e5db7f81eff8	Adun Oakenshield	Legendary Creature — Human Knight	0		0	0	1	activated_ability	ability	printed			{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.	{M}{M}{M}, {M}: Return target creature card from your graveyard to your hand.												claude-fable-5-pass1-2026-08-27	
leg	bf29b215-d4f5-4641-97ef-b65d4c463e72	Adventurers' Guildhouse	Land	0		0	0	1	spell_or_static_text	ability	printed			Green legendary creatures you control have "bands with other legendary creatures."	Green legendary creatures you control have "[ability]"												claude-fable-5-pass1-2026-08-27	
leg	bf29b215-d4f5-4641-97ef-b65d4c463e72	Adventurers' Guildhouse	Land	1	0	1	0	1	spell_or_static_text	granted	printed			bands with other legendary creatures.	bands with other legendary creatures.												claude-fable-5-pass1-2026-08-27	
leg	5cb495a2-c683-4066-b6ee-d0b7d8843cb9	Aerathi Berserker	Creature — Human Berserker	0		0	0	1	keyword_ability	ability	printed			Rampage 3	Rampage N												claude-fable-5-pass1-2026-08-27	
leg	5456f00c-0bef-4c14-902f-f5c14475f284	Aisling Leprechaun	Creature — Faerie	0		0	0	1	triggered_ability	ability	printed			Whenever this creature blocks or becomes blocked by a creature, that creature becomes green.	Whenever ~ blocks or becomes blocked by a creature, that creature becomes green.												claude-fable-5-pass1-2026-08-27	
leg	c5f50a78-9dc4-4f3c-aa11-b41c8278bc16	Akron Legionnaire	Creature — Giant Soldier	0		0	0	1	spell_or_static_text	ability	printed			Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.	Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.												claude-fable-5-pass1-2026-08-27	
leg	0f5b0c77-1e3d-46a1-ae0e-03ed79196cd9	Al-abara's Carpet	Artifact	0		0	0	1	activated_ability	ability	printed			{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.	{M}, {M}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.												claude-fable-5-pass1-2026-08-27	
leg	2fcca686-03c8-4407-9f9f-2b7462470044	Alabaster Potion	Instant	0		0	0	1	spell_or_static_text	ability	printed			Choose one —	Choose one —												claude-fable-5-pass1-2026-08-27	
leg	2fcca686-03c8-4407-9f9f-2b7462470044	Alabaster Potion	Instant	1	0	1	0	2	spell_or_static_text	mode	printed			Target player gains X life.	Target player gains X life.												claude-fable-5-pass1-2026-08-27	
leg	2fcca686-03c8-4407-9f9f-2b7462470044	Alabaster Potion	Instant	2	0	1	0	3	prevention_effect	mode	printed			Prevent the next X damage that would be dealt to any target this turn.	Prevent the next X damage that would be dealt to any target this turn.												claude-fable-5-pass1-2026-08-27	
leg	61473d8e-45f1-4753-918d-04918a466031	Alchor's Tomb	Artifact	0		0	0	1	activated_ability	ability	printed			{2}, {T}: Target permanent you control becomes the color of your choice.	{M}, {M}: Target permanent you control becomes the color of your choice.												claude-fable-5-pass1-2026-08-27	
leg	ebed900f-6de3-4ae7-9795-fae34882298d	All Hallow's Eve	Sorcery	0		0	0	1	spell_or_static_text	ability	printed			Exile All Hallow's Eve with two scream counters on it.	Exile ~ with two scream counters on it.												claude-fable-5-pass1-2026-08-27	
leg	ebed900f-6de3-4ae7-9795-fae34882298d	All Hallow's Eve	Sorcery	1		0	0	2	triggered_ability	ability	printed			At the beginning of your upkeep, if this card is exiled with a scream counter on it, remove a scream counter from it. If there are no more scream counters on it, put it into your graveyard and each player returns all creature cards from their graveyard to the battlefield.	At the beginning of your upkeep, if ~ is exiled with a scream counter on it, remove a scream counter from it. If there are no more scream counters on it, put it into your graveyard and each player returns all creature cards from their graveyard to the battlefield.												claude-fable-5-pass1-2026-08-27	
leg	79644192-8f99-4d04-b151-6f74a4dbda0a	Amrou Kithkin	Creature — Kithkin	0		0	0	1	spell_or_static_text	ability	printed			This creature can't be blocked by creatures with power 3 or greater.	~ can't be blocked by creatures with power N or greater.												claude-fable-5-pass1-2026-08-27	
leg	3485109b-251f-4bef-a069-308031f47912	Angelic Voices	Enchantment	0		0	0	1	spell_or_static_text	ability	printed			Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.	Creatures you control get +N/+N as long as you control no nonartifact, nonwhite creatures.												claude-fable-5-pass1-2026-08-27	
leg	d5e6ac6b-5786-4d98-8037-0867e365fc93	Angus Mackenzie	Legendary Creature — Human Cleric	0		0	0	1	activated_ability	ability	printed			{G}{W}{U}, {T}: Prevent all combat damage that would be dealt this turn. Activate only before the combat damage step.	{M}{M}{M}, {M}: Prevent all combat damage that would be dealt this turn. Activate only before the combat damage step.												claude-fable-5-pass1-2026-08-27	
leg	6f78c1e2-e38f-431b-8864-8aad982e9912	Anti-Magic Aura	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed			Enchant creature	Enchant creature												claude-fable-5-pass1-2026-08-27	
leg	6f78c1e2-e38f-431b-8864-8aad982e9912	Anti-Magic Aura	Enchantment — Aura	1		0	0	2	spell_or_static_text	ability	printed			Enchanted creature can't be the target of spells and can't be enchanted by other Auras.	Enchanted creature can't be the target of spells and can't be enchanted by other Auras.												claude-fable-5-pass1-2026-08-27	
leg	acb3e93c-a1d3-458f-b8c3-c426cd359fa4	Arboria	World Enchantment	0		0	0	1	spell_or_static_text	ability	printed			Creatures can't attack a player unless that player cast a spell or put a nontoken permanent onto the battlefield during their last turn.	Creatures can't attack a player unless that player cast a spell or put a nontoken permanent onto the battlefield during their last turn.												claude-fable-5-pass1-2026-08-27	
leg	8ead94c5-8447-4f20-87ec-efdccde689fc	Arcades Sabboth	Legendary Creature — Elder Dragon	0		0	0	1	keyword_ability	ability	printed			Flying	Flying												claude-fable-5-pass1-2026-08-27	
leg	8ead94c5-8447-4f20-87ec-efdccde689fc	Arcades Sabboth	Legendary Creature — Elder Dragon	1		0	0	2	triggered_ability	ability	printed			At the beginning of your upkeep, sacrifice Arcades Sabboth unless you pay {G}{W}{U}.	At the beginning of your upkeep, sacrifice ~ unless you pay {M}{M}{M}.												claude-fable-5-pass1-2026-08-27	
leg	8ead94c5-8447-4f20-87ec-efdccde689fc	Arcades Sabboth	Legendary Creature — Elder Dragon	2		0	0	3	spell_or_static_text	ability	printed			Each untapped creature you control gets +0/+2 as long as it's not attacking.	Each untapped creature you control gets +N/+N as long as it's not attacking.												claude-fable-5-pass1-2026-08-27	
leg	8ead94c5-8447-4f20-87ec-efdccde689fc	Arcades Sabboth	Legendary Creature — Elder Dragon	3		0	0	4	activated_ability	ability	printed			{W}: Arcades Sabboth gets +0/+1 until end of turn.	{M}: ~ gets +N/+N until end of turn.												claude-fable-5-pass1-2026-08-27	
leg	12584f75-77c1-4b6b-ae9d-1882792b6b94	Arena of the Ancients	Artifact	0		0	0	1	spell_or_static_text	ability	printed			Legendary creatures don't untap during their controllers' untap steps.	Legendary creatures don't untap during their controllers' untap steps.												claude-fable-5-pass1-2026-08-27	
leg	12584f75-77c1-4b6b-ae9d-1882792b6b94	Arena of the Ancients	Artifact	1		0	0	2	triggered_ability	ability	printed			When this artifact enters, tap all legendary creatures.	When ~ enters, tap all legendary creatures.												claude-fable-5-pass1-2026-08-27	
leg	c04dd88f-fb7f-43be-b586-7fc5642073dc	Avoid Fate	Instant	0		0	0	1	spell_or_static_text	ability	printed			Counter target instant or Aura spell that targets a permanent you control.	Counter target instant or Aura spell that targets a permanent you control.												claude-fable-5-pass1-2026-08-27	
leg	c640350b-16a5-4227-87fa-8b24fdb367c7	Axelrod Gunnarson	Legendary Creature — Giant	0		0	0	1	keyword_ability	ability	printed			Trample	Trample												claude-fable-5-pass1-2026-08-27	
leg	c640350b-16a5-4227-87fa-8b24fdb367c7	Axelrod Gunnarson	Legendary Creature — Giant	1		0	0	2	triggered_ability	ability	printed			Whenever a creature dealt damage by Axelrod Gunnarson this turn dies, you gain 1 life and Axelrod Gunnarson deals 1 damage to target player or planeswalker.	Whenever a creature dealt damage by ~ this turn dies, you gain N life and ~ deals N damage to target player or planeswalker.												claude-fable-5-pass1-2026-08-27	
leg	35e4ed0e-8ce2-4729-a009-0d6be8f47663	Ayesha Tanaka	Legendary Creature — Human Artificer	0		0	0	1	keyword_ability	ability	printed			Banding	Banding												claude-fable-5-pass1-2026-08-27	
leg	35e4ed0e-8ce2-4729-a009-0d6be8f47663	Ayesha Tanaka	Legendary Creature — Human Artificer	1		0	0	2	activated_ability	ability	printed			{T}: Counter target activated ability from an artifact source unless that ability's controller pays {W}.	{M}: Counter target activated ability from an artifact source unless that ability's controller pays {M}.												claude-fable-5-pass1-2026-08-27	
leg	15cc068c-f424-433e-b165-8457c62a4b35	Azure Drake	Creature — Drake	0		0	0	1	keyword_ability	ability	printed			Flying	Flying												claude-fable-5-pass1-2026-08-27	
leg	80734bb0-5032-4355-9304-49f4a4557aba	Backdraft	Instant	0		0	0	1	spell_or_static_text	ability	printed			Choose a player who cast one or more sorcery spells this turn. Backdraft deals damage to that player equal to half the damage dealt by one of those sorcery spells this turn, rounded down.	Choose a player who cast one or more sorcery spells this turn. ~ deals damage to that player equal to half the damage dealt by one of those sorcery spells this turn, rounded down.												claude-fable-5-pass1-2026-08-27	
leg	e04fa58e-be7a-4c9c-98d0-48241742a41b	Backfire	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed			Enchant creature	Enchant creature												claude-fable-5-pass1-2026-08-27	
leg	e04fa58e-be7a-4c9c-98d0-48241742a41b	Backfire	Enchantment — Aura	1		0	0	2	triggered_ability	ability	printed			Whenever enchanted creature deals damage to you, this Aura deals that much damage to that creature's controller.	Whenever enchanted creature deals damage to you, ~ deals that much damage to that creature's controller.												claude-fable-5-pass1-2026-08-27	
leg	9beccf09-c024-408b-9f84-fe2c7462babb	Bartel Runeaxe	Legendary Creature — Giant Warrior	0		0	0	1	keyword_ability	ability	printed			Vigilance	Vigilance												claude-fable-5-pass1-2026-08-27	
leg	9beccf09-c024-408b-9f84-fe2c7462babb	Bartel Runeaxe	Legendary Creature — Giant Warrior	1		0	0	2	spell_or_static_text	ability	printed			Bartel Runeaxe can't be the target of Aura spells.	~ can't be the target of Aura spells.												claude-fable-5-pass1-2026-08-27	
leg	9b0bc2d3-d64b-455a-a258-d3c91892f1a7	Beasts of Bogardan	Creature — Beast	0		0	0	1	keyword_ability	ability	printed			Protection from red	Protection from red												claude-fable-5-pass1-2026-08-27	
leg	9b0bc2d3-d64b-455a-a258-d3c91892f1a7	Beasts of Bogardan	Creature — Beast	1		0	0	2	spell_or_static_text	ability	printed			This creature gets +1/+1 as long as an opponent controls a nontoken white permanent.	~ gets +N/+N as long as an opponent controls a nontoken white permanent.												claude-fable-5-pass1-2026-08-27	
leg	dc3b2bab-755d-4b2f-97c0-70a74d721a79	Black Mana Battery	Artifact	0		0	0	1	activated_ability	ability	printed			{2}, {T}: Put a charge counter on this artifact.	{M}, {M}: Put a charge counter on ~.												claude-fable-5-pass1-2026-08-27	
leg	dc3b2bab-755d-4b2f-97c0-70a74d721a79	Black Mana Battery	Artifact	1		0	0	2	activated_ability	ability	printed			{T}, Remove any number of charge counters from this artifact: Add {B}, then add an additional {B} for each charge counter removed this way.	{M}, Remove any number of charge counters from ~: Add {M}, then add an additional {M} for each charge counter removed this way.												claude-fable-5-pass1-2026-08-27	
leg	7879b37c-5e2a-4945-9378-47744b715a6c	Blazing Effigy	Creature — Elemental	0		0	0	1	triggered_ability	ability	printed			When this creature dies, it deals X damage to target creature, where X is 3 plus the amount of damage dealt to this creature this turn by other sources named Blazing Effigy.	When ~ dies, it deals X damage to target creature, where X is N plus the amount of damage dealt to ~ this turn by other sources named Blazing Effigy.												claude-fable-5-pass1-2026-08-27	
leg	19066c43-eccd-461b-9695-c3fad95dc1da	Blight	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed			Enchant land	Enchant land												claude-fable-5-pass1-2026-08-27	
leg	19066c43-eccd-461b-9695-c3fad95dc1da	Blight	Enchantment — Aura	1		0	0	2	triggered_ability	ability	printed			When enchanted land becomes tapped, destroy it.	When enchanted land becomes tapped, destroy it.												claude-fable-5-pass1-2026-08-27	
leg	55a253f9-f44d-4898-af83-fea68b7b279d	Blood Lust	Instant	0		0	0	1	spell_or_static_text	ability	printed			If target creature has toughness 5 or greater, it gets +4/-4 until end of turn. Otherwise, it gets +4/-X until end of turn, where X is its toughness minus 1.	If target creature has toughness N or greater, it gets +N/-N until end of turn. Otherwise, it gets +N/-X until end of turn, where X is its toughness minus N.												claude-fable-5-pass1-2026-08-27	
leg	79e91e8a-cee7-411b-b0a3-d3383c0d4a43	Blue Mana Battery	Artifact	0		0	0	1	activated_ability	ability	printed			{2}, {T}: Put a charge counter on this artifact.	{M}, {M}: Put a charge counter on ~.												claude-fable-5-pass1-2026-08-27	
leg	79e91e8a-cee7-411b-b0a3-d3383c0d4a43	Blue Mana Battery	Artifact	1		0	0	2	activated_ability	ability	printed			{T}, Remove any number of charge counters from this artifact: Add {U}, then add an additional {U} for each charge counter removed this way.	{M}, Remove any number of charge counters from ~: Add {M}, then add an additional {M} for each charge counter removed this way.												claude-fable-5-pass1-2026-08-27	
leg	dc4a4996-108a-4aac-850f-2d9f76403446	Boomerang	Instant	0		0	0	1	spell_or_static_text	ability	printed			Return target permanent to its owner's hand.	Return target permanent to its owner's hand.												claude-fable-5-pass1-2026-08-27	
leg	913aed6d-60c3-4d08-baf8-359e2c41a797	Boris Devilboon	Legendary Creature — Zombie Wizard	0		0	0	1	activated_ability	ability	printed			{2}{B}{R}, {T}: Create a 1/1 black and red Demon creature token named Minor Demon.	{M}{M}{M}, {M}: Create a N/N black and red Demon creature token named Minor Demon.												claude-fable-5-pass1-2026-08-27	
leg	e0165326-f1a6-4fc0-94c1-4b33f24d36f5	Brine Hag	Creature — Hag	0		0	0	1	triggered_ability	ability	printed			When this creature dies, change the base power and toughness of all creatures that dealt damage to it this turn to 0/2.	When ~ dies, change the base power and toughness of all creatures that dealt damage to it this turn to N/N.												claude-fable-5-pass1-2026-08-27	
leg	a7887b24-977d-4a40-bb30-4bf467e5dba6	Bronze Horse	Artifact Creature — Horse	0		0	0	1	keyword_ability	ability	printed			Trample	Trample												claude-fable-5-pass1-2026-08-27	
leg	a7887b24-977d-4a40-bb30-4bf467e5dba6	Bronze Horse	Artifact Creature — Horse	1		0	0	2	prevention_effect	ability	printed			As long as you control another creature, prevent all damage that would be dealt to this creature by spells that target it.	As long as you control another creature, prevent all damage that would be dealt to ~ by spells that target it.												claude-fable-5-pass1-2026-08-27	
leg	87bc6be7-4734-4a11-806e-e9e4f5616fe0	Carrion Ants	Creature — Insect	0		0	0	1	activated_ability	ability	printed			{1}: This creature gets +1/+1 until end of turn.	{M}: ~ gets +N/+N until end of turn.												claude-fable-5-pass1-2026-08-27	
leg	cee3d8e5-f26f-4f47-8a7b-9ac07ebf9025	Cat Warriors	Creature — Cat Warrior	0		0	0	1	keyword_ability	ability	printed			Forestwalk	Forestwalk												claude-fable-5-pass1-2026-08-27	
leg	4b9922b9-c5b5-467e-8a5b-1e45e862194d	Cathedral of Serra	Land	0		0	0	1	spell_or_static_text	ability	printed			White legendary creatures you control have "bands with other legendary creatures."	White legendary creatures you control have "[ability]"												claude-fable-5-pass1-2026-08-27	
leg	4b9922b9-c5b5-467e-8a5b-1e45e862194d	Cathedral of Serra	Land	1	0	1	0	1	spell_or_static_text	granted	printed			bands with other legendary creatures.	bands with other legendary creatures.												claude-fable-5-pass1-2026-08-27	
leg	a1034a02-36cf-4586-a001-9dc3fb76e904	Caverns of Despair	World Enchantment	0		0	0	1	spell_or_static_text	ability	printed			No more than two creatures can attack each combat.	No more than two creatures can attack each combat.												claude-fable-5-pass1-2026-08-27	
leg	a1034a02-36cf-4586-a001-9dc3fb76e904	Caverns of Despair	World Enchantment	1		0	0	2	spell_or_static_text	ability	printed			No more than two creatures can block each combat.	No more than two creatures can block each combat.												claude-fable-5-pass1-2026-08-27	
leg	8785f42f-87b9-4a0a-89ce-ea423649ba9c	Chain Lightning	Sorcery	0		0	0	1	spell_or_static_text	ability	printed			Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy.	~ deals N damage to any target. Then that player or that permanent's controller may pay {M}{M}. If the player does, they may copy ~ and may choose a new target for that copy.												claude-fable-5-pass1-2026-08-27	
leg	eae87919-6322-4bd2-ae9c-b1ce25d686da	Chains of Mephistopheles	Enchantment	0		0	0	1	replacement_effect	ability	printed			If a player would draw a card except the first one they draw in each of their draw steps, that player discards a card instead. If the player discards a card this way, they draw a card. If the player doesn't discard a card this way, they mill a card.	If a player would draw a card except the first one they draw in each of their draw steps, that player discards a card instead. If the player discards a card this way, they draw a card. If the player doesn't discard a card this way, they mill a card.												claude-fable-5-pass1-2026-08-27	
leg	7c91ae5d-0320-46a7-98d2-df0918202478	Chromium	Legendary Creature — Elder Dragon	0		0	0	1	keyword_ability	ability	printed			Flying	Flying												claude-fable-5-pass1-2026-08-27	
leg	7c91ae5d-0320-46a7-98d2-df0918202478	Chromium	Legendary Creature — Elder Dragon	1		0	0	2	keyword_ability	ability	printed			Rampage 2	Rampage N												claude-fable-5-pass1-2026-08-27	
leg	7c91ae5d-0320-46a7-98d2-df0918202478	Chromium	Legendary Creature — Elder Dragon	2		0	0	3	triggered_ability	ability	printed			At the beginning of your upkeep, sacrifice Chromium unless you pay {W}{U}{B}.	At the beginning of your upkeep, sacrifice ~ unless you pay {M}{M}{M}.												claude-fable-5-pass1-2026-08-27	
leg	a610c77c-fe31-4465-a1c1-392db4ce4ed1	Cleanse	Sorcery	0		0	0	1	spell_or_static_text	ability	printed			Destroy all black creatures.	Destroy all black creatures.												claude-fable-5-pass1-2026-08-27	
leg	66566999-f70a-4f14-9bf0-23325295a977	Clergy of the Holy Nimbus	Creature — Human Cleric	0		0	0	1	spell_or_static_text	ability	printed			If this creature would be destroyed, regenerate it.	If ~ would be destroyed, regenerate it.												claude-fable-5-pass1-2026-08-27	
leg	66566999-f70a-4f14-9bf0-23325295a977	Clergy of the Holy Nimbus	Creature — Human Cleric	1		0	0	2	activated_ability	ability	printed			{1}: This creature can't be regenerated this turn. Only your opponents may activate this ability.	{M}: ~ can't be regenerated this turn. Only your opponents may activate this ability.												claude-fable-5-pass1-2026-08-27	
leg	9e35d450-00af-4f40-a4ee-bc7844ff5628	Cocoon	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed			Enchant creature you control	Enchant creature you control												claude-fable-5-pass1-2026-08-27	
leg	9e35d450-00af-4f40-a4ee-bc7844ff5628	Cocoon	Enchantment — Aura	1		0	0	2	triggered_ability	ability	printed			When this Aura enters, tap enchanted creature and put three pupa counters on this Aura.	When ~ enters, tap enchanted creature and put three pupa counters on ~.												claude-fable-5-pass1-2026-08-27	
leg	9e35d450-00af-4f40-a4ee-bc7844ff5628	Cocoon	Enchantment — Aura	2		0	0	3	spell_or_static_text	ability	printed			Enchanted creature doesn't untap during your untap step if this Aura has a pupa counter on it.	Enchanted creature doesn't untap during your untap step if ~ has a pupa counter on it.												claude-fable-5-pass1-2026-08-27	
leg	9e35d450-00af-4f40-a4ee-bc7844ff5628	Cocoon	Enchantment — Aura	3		0	0	4	triggered_ability	ability	printed			At the beginning of your upkeep, remove a pupa counter from this Aura. If you can't, sacrifice it, put a +1/+1 counter on enchanted creature, and that creature gains flying.	At the beginning of your upkeep, remove a pupa counter from ~. If you can't, sacrifice it, put a +N/+N counter on enchanted creature, and that creature gains flying.												claude-fable-5-pass1-2026-08-27	
leg	d73df13d-942a-4104-ac9d-de7c100c086f	Cosmic Horror	Creature — Horror	0		0	0	1	keyword_ability	ability	printed			First strike	First strike												claude-fable-5-pass1-2026-08-27	
leg	d73df13d-942a-4104-ac9d-de7c100c086f	Cosmic Horror	Creature — Horror	1		0	0	2	triggered_ability	ability	printed			At the beginning of your upkeep, destroy this creature unless you pay {3}{B}{B}{B}. If this creature is destroyed this way, it deals 7 damage to you.	At the beginning of your upkeep, destroy ~ unless you pay {M}{M}{M}{M}. If ~ is destroyed this way, it deals N damage to you.												claude-fable-5-pass1-2026-08-27	
leg	152b621e-4c18-438c-9999-77e2685fda79	Craw Giant	Creature — Giant	0		0	0	1	keyword_ability	ability	printed			Trample	Trample												claude-fable-5-pass1-2026-08-27	
leg	152b621e-4c18-438c-9999-77e2685fda79	Craw Giant	Creature — Giant	1		0	0	2	keyword_ability	ability	printed			Rampage 2	Rampage N												claude-fable-5-pass1-2026-08-27	
leg	6d03297b-fa54-438e-99c8-37f92163aeff	Crevasse	Enchantment	0		0	0	1	spell_or_static_text	ability	printed			Creatures with mountainwalk can be blocked as though they didn't have mountainwalk.	Creatures with mountainwalk can be blocked as though they didn't have mountainwalk.												claude-fable-5-pass1-2026-08-27	
leg	35d4e500-28c8-44c9-990f-3aa25ed5dd14	Crimson Manticore	Creature — Manticore	0		0	0	1	keyword_ability	ability	printed			Flying	Flying												claude-fable-5-pass1-2026-08-27	
leg	35d4e500-28c8-44c9-990f-3aa25ed5dd14	Crimson Manticore	Creature — Manticore	1		0	0	2	activated_ability	ability	printed			{R}, {T}: This creature deals 1 damage to target attacking or blocking creature.	{M}, {M}: ~ deals N damage to target attacking or blocking creature.												claude-fable-5-pass1-2026-08-27	
leg	81bc4a5e-812f-4809-b6df-271c3c22f4fc	D'Avenant Archer	Creature — Human Soldier Archer	0		0	0	1	activated_ability	ability	printed			{T}: This creature deals 1 damage to target attacking or blocking creature.	{M}: ~ deals N damage to target attacking or blocking creature.												claude-fable-5-pass1-2026-08-27	
leg	1aa78e3b-bf7e-4645-9521-4b3537c93f46	Dakkon Blackblade	Legendary Creature — Human Warrior	0		0	0	1	characteristic_defining_ability	ability	printed			Dakkon Blackblade's power and toughness are each equal to the number of lands you control.	~'s power and toughness are each equal to the number of lands you control.												claude-fable-5-pass1-2026-08-27	
leg	932708ae-9d5c-4561-aa8b-0d2222d37fdc	Darkness	Instant	0		0	0	1	spell_or_static_text	ability	printed			Prevent all combat damage that would be dealt this turn.	Prevent all combat damage that would be dealt this turn.												claude-fable-5-pass1-2026-08-27	
